terms,effects,isFixed,Y1,Y2
*intercept_0,123.3196127501491,1,*intercept,0.0
CG_1,14.72546142912292,1,CG,1.0
CG_2,29.260273797861462,1,CG,2.0
Animal_1,0.7454088259078574,0,Animal,1.0
Animal_2,-2.0874129327533697,0,Animal,2.0
Animal_3,-0.2733229239793498,0,Animal,3.0
Animal_4,-0.30267469218961207,0,Animal,4.0
Animal_5,7.887065159647634,0,Animal,5.0
Animal_6,-5.742884559761081,0,Animal,6.0
Animal_7,-2.879891582558464,0,Animal,7.0
Animal_8,6.585047185761524,0,Animal,8.0
Animal_9,-3.22215749014951,0,Animal,9.0
Animal_10,-6.174353397728793,0,Animal,10.0
Sire_1,2.7428380248962845,0,Sire,1.0
Sire_2,-3.732078371389186,0,Sire,2.0
Sire_3,-0.06770048888490983,0,Sire,3.0
Sire_4,-0.49227233398677855,0,Sire,4.0
Sire_5,1.6087476492480361,0,Sire,5.0
Sire_6,-2.070866614596083,0,Sire,6.0
Sire_7,1.0911050886567208,0,Sire,7.0
Sire_8,-2.1405526985094503,0,Sire,8.0
Sire_9,1.3308179983515296,0,Sire,9.0
Sire_10,-2.190347790783656,0,Sire,10.0
